brand,model,year,mileage_km,city,price,price_type,transmission,body_color,inside_color,body_status,engine_liter,link
لوکانو,لوکانو، L7,2026,0,تهران / نیاوران,7000000000.0,lumpsum,اتوماتیک,مشکی,سفید,بدون رنگ,1.6,https://bama.ir/car/detail-mypqj0bz-lucano-l7-1.6literturbo-1405
تویوتا,تویوتا، راوفور,2025,13500,تهران / عباس‌آباد,14500000000.0,lumpsum,اتوماتیک,سفید,نقره ای,بدون رنگ,2.5,https://bama.ir/car/detail-jxfqbtvp-toyota-rav4-2.5litera4wddventure-2025
چانگان,چانگان، CS 55 پلاس,2025,0,تهران / 17 شهریور,5900000000.0,lumpsum,اتوماتیک,خاکستری,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-nlrcryxi-changan-cs55plus-1.5liter-2025
بنز,بنز، کلاس A سدان,2025,0,تهران / ولنجک,12650000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.3,https://bama.ir/car/detail-rw4gkkwu-mercedesbenz-aclasssedan-a200l-2025
فونیکس,فونیکس، تیگو 7 پرو مکس (F7 PRO MAX),2026,0,تهران / بهبودی,5883500000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-b2lcoqhi-fownix-tiggo7promax-1.6literturboawd-1405
تویوتا,تویوتا، راوفور,2025,0,تهران / شهید بهشتی,12950000000.0,lumpsum,اتوماتیک,سفید,-,بدون رنگ,2.5,https://bama.ir/car/detail-or5qe3pl-toyota-rav4-4wd-2025
هیوندای,هیوندای، سانتافه,2016,82000,ارومیه,7000000000.0,lumpsum,اتوماتیک,مشکی,مارون,بدون رنگ,2.4,https://bama.ir/car/detail-3sbtwvnl-hyundai-santafeix45-2400cc-2016
فونیکس,فونیکس، تیگو 8 پرو مکس (F8 PRO MAX),2025,15000,تهران / دانشگاه علم و صنعت,7600000000.0,lumpsum,اتوماتیک,مشکی,قهوه ای,بدون رنگ,2.0,https://bama.ir/car/detail-y4edcywu-fownix-tiggo8promax-ie-1404
رنو,رنو، کولیوس,2017,130000,شمیرانات,6600000000.0,lumpsum,اتوماتیک,بژ,قهوه ای,بدون رنگ,2.5,https://bama.ir/car/detail-7zrvnjdp-renault-koleos-2017
هیوندای,هیوندای، اکسنت (مونتاژ),2018,60000,تهران / الهیه,4850000000.0,lumpsum,اتوماتیک,سفید,خاکستری,یک لکه رنگ,1.6,https://bama.ir/car/detail-a8lhoehy-hyundai-accentir-1397
تویوتا,تویوتا، راوفور,2025,0,تهران / زعفرانیه,29000000000.0,lumpsum,اتوماتیک,مشکی,سفید,بدون رنگ,2.5,https://bama.ir/car/detail-80yzqrpe-toyota-rav4-2.5litera4wddventure-2025
دنا,دنا، معمولی,2018,109000,سیرجان,1590000000.0,lumpsum,دنده ای,خاکستری,-,بدون رنگ,1.7,https://bama.ir/car/detail-4yavv5ts-dena-1.7-1397
فوتون,فوتون، تونلند G7,2023,0,تهران / پونک,5050000000.0,lumpsum,اتوماتیک,مشکی,-,بدون رنگ,2.0,https://bama.ir/car/detail-3pfzxhir-foton-tunlandg7-gas-1402
ام وی ام,ام وی ام، X33 کراس,2024,0,آستارا,3200000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.0,https://bama.ir/car/detail-iclydzjk-mvm-x33cross-at-1403
ب ام و,ب ام و، سری 2 گرن کوپه,2025,0,تهران / زعفرانیه,12250000000.0,lumpsum,اتوماتیک,سفید,قرمز,بدون رنگ,2.0,https://bama.ir/car/detail-vse51mr4-bmw-2seriesgrancoupe-225l-2025
سوزوکی,سوزوکی، بالنو,2025,44000,مشهد / بلوار سجاد,4340000000.0,lumpsum,اتوماتیک,زرشکی,سرمه ای,بدون رنگ,1.5,https://bama.ir/car/detail-pr8ufhjm-suzuki-baleno-1.5liter-2025
پژو,پژو، 207,2026,0,تهران / شهرک غرب,2450000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-zpkwxsaq-peugeot-207-attu5p-1405
پژو,پژو، 207,2026,0,تهران / آجودانیه,2770000000.0,lumpsum,اتوماتیک,سفید,-,بدون رنگ,1.6,https://bama.ir/car/detail-drzko4np-peugeot-207-automaticpanoramatu5p-1405
تویوتا,تویوتا، لندکروز چهار در,2012,170000,تنکابن,28800000000.0,lumpsum,اتوماتیک,سفید,خاکستری,بدون رنگ,4.0,https://bama.ir/car/detail-v1pca0tn-toyota-landcruiser4door-v64000cc-2012
پژو,پژو، 207,2025,15000,تهران / نیلوفر,2400000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-i90moha7-peugeot-207-attu5p-1404
هیوندای,هیوندای، آزرا (گرنجور),2010,333000,کرمان,4750000000.0,lumpsum,اتوماتیک,سربی,مشکی,یک لکه رنگ,3.3,https://bama.ir/car/detail-eut3soyr-hyundai-azera-6cylinder-2010
فیدلیتی,فیدلیتی، پرایم,2023,116000,تهران / تهرانپارس غربی,3950000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-jascm7mq-fidelity-prime-5seater-1402
هیوندای,هیوندای، سوناتا,2009,265000,تهران / شهران شمالی,3950000000.0,lumpsum,اتوماتیک,مشکی,مشکی,خط و خش جزئی,2.4,https://bama.ir/car/detail-vktd7bse-hyundai-sonata-4cylautomatic-2009
جک,جک، جی 5,2014,191600,تهران / شهران شمالی,1530000000.0,lumpsum,اتوماتیک,سفید,مشکی,یک لکه رنگ,1.8,https://bama.ir/car/detail-sgm39tzc-jac-j5-at-1393
پراید,پراید، 151,2023,45000,شهریار,880000000.0,lumpsum,دنده ای,سفید,خاکستری,بدون رنگ,1.3,https://bama.ir/car/detail-y63uzdxl-pride-151-se-1402
شاهین,شاهین، اتوماتیک CVT,2024,13000,تهران / ده‌ونک,2025000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-erjzm1w3-shahin-gautomatic-cvt-1403
تیگارد,تیگارد، L7 پلاس,2025,14000,تهران / شهرک نفت (منطقه 5),4000000000.0,lumpsum,دنده ای,سفید,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-tl7oa6hu-tigardmotor-l7plus-2.4liter-1404
ب ام و,ب ام و، X2,2025,0,تهران / جردن,16500000000.0,lumpsum,اتوماتیک,خاکستری,موکا,بدون رنگ,2.0,https://bama.ir/car/detail-njdu1emp-bmw-x2-sdrive25i-2025
رنو,رنو، ساندرو استپ وی,2017,110000,تهران / شهرک غرب,2600000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-1xl2qocn-renault-sanderostepway-at-1396
میتسوبیشی,میتسوبیشی، اوتلندر,2023,25000,رشت / گلسار,9800000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-1evj3naa-mitsubishi-outlander-hlinefwd-2023
فونیکس,فونیکس، آریزو 6 پرو,2023,43000,تهران / تهرانپارس غربی,3450000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-dfy8k4s6-fownix-arrizo6pro-1402
کیا,کیا، اسپورتیج,2014,169000,تهران / دروس,4880000000.0,lumpsum,اتوماتیک,سفید,مشکی,یک لکه رنگ,2.4,https://bama.ir/car/detail-8hf2e07s-kia-sportage-basic-2014
لاماری,لاماری، ایما,2025,80000,اصفهان / مشتاق,4700000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-gf7izesn-lamari-eama-1404
اطلس,اطلس، دنده ای,2024,59000,نجف آباد,1270000000.0,lumpsum,دنده ای,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-nuwhm47r-atlas-g-mt-1403
پژو,پژو، 207,2026,0,تهران / حکیمیه,2250000000.0,lumpsum,دنده ای,سفید,-,بدون رنگ,1.6,https://bama.ir/car/detail-r6hy7fsr-peugeot-207-manualpanoramatu5p-1405
مزدا,مزدا، 323,2004,276000,نکا,1350000000.0,lumpsum,دنده ای,نقره ای,خاکستری,دو لکه رنگ,1.6,https://bama.ir/car/detail-i8akhy0x-mazda-323-mt-1383
فونیکس,فونیکس، آریزو 6 جی تی (Z6 GT),2024,36000,تهران / میرداماد,4100000000.0,lumpsum,اتوماتیک,مشکی,آلبالویی,بدون رنگ,1.6,https://bama.ir/car/detail-lmr7ihxi-fownix-arrizo6gt-excellent-1403
رنو,رنو، ساندرو استپ وی,2017,100000,تهران / شهرک غرب,2600000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-oj1fctwy-renault-sanderostepway-at-1396
تانک,تانک، 300 مونتاژی,2026,0,تهران / جوادیه تهرانپارس,10000000000.0,lumpsum,اتوماتیک,طوسی,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-rjsvroxg-tank-300ir-2.0literturbo-1405
کیا,کیا، اسپورتیج,2013,250000,تهران / هروی,4750000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-vmucttor-kia-sportage-basic-2013
بی وای دی,بی وای دی، سی لاین 06 DMi,2025,0,اصفهان / احمدآباد,10600000000.0,lumpsum,اتوماتیک,سفید,سفید,بدون رنگ,1.5,https://bama.ir/car/detail-w1jse2pd-byd-sealion6dmi-170plus-2025
تارا,تارا، اتوماتیک V2,2022,14400,تهران / جمال‌زاده,2030000000.0,lumpsum,اتوماتیک,خاکستری,-,بدون رنگ,1.6,https://bama.ir/car/detail-9coizxwf-tara-automatic-1401
پژو,پژو، 207,2024,30000,شیراز / قصرالدشت,1880000000.0,lumpsum,اتوماتیک,مشکی,مشکی,چند لکه رنگ,1.6,https://bama.ir/car/detail-r34qbjvy-peugeot-207-attu5p-1403
میتسوبیشی,میتسوبیشی، اوتلندر,2023,0,تهران / زعفرانیه,12700000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-uwbac4ma-mitsubishi-outlander-plinefwd-2023
بی ای دبلیو (BAW),بی ای دبلیو (BAW)، 212,2026,0,تهران / دروس,10250000000.0,lumpsum,اتوماتیک,یشمی,شتری,بدون رنگ,2.0,https://bama.ir/car/detail-q30x9fbh-baw-212t01-2.0literturbo-1405
فیدلیتی,فیدلیتی، پرایم,2024,20000,تهران / شمس‌آباد,4600000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-zdnxvypl-fidelity-prime-5seater-1403
برلیانس,برلیانس، V5,2014,140000,ماکو,2350000000.0,lumpsum,اتوماتیک,مشکی,کرم,بدون رنگ,1.6,https://bama.ir/car/detail-29c0ztmi-brilliance-v5-1393
کوییک,کوییک، GXR,2024,33000,تهران / ستارخان,1080000000.0,lumpsum,دنده ای,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-2fdu5sg0-quick-gxr-hmt-1403
تویوتا,تویوتا، اریون,2010,180000,اصفهان / دروازه شیراز,7600000000.0,lumpsum,اتوماتیک,سفید,کرم,بدون رنگ,3.5,https://bama.ir/car/detail-avzshxp5-toyota-aurion-grande-2010
کیا,کیا، سورنتو,2013,181000,تهران / قلهک,7200000000.0,lumpsum,اتوماتیک,خاکستری,کرم,بدون رنگ,3.5,https://bama.ir/car/detail-wwzqfe3h-kia-sorento-6cylinder-2013
پژو,پژو، 207,2025,11000,تهران / شهرک غرب,1970000000.0,lumpsum,دنده ای,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-yknsiz2j-peugeot-207-manualpanorama-1404
پژو,پژو، 207,2025,16000,تهران / سعادت‌آباد,2450000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-sesvodyc-peugeot-207-automaticpanoramatu5p-1404
هیوندای,هیوندای، سوناتا,2016,155000,گرگان,6250000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-mpybl1kq-hyundai-sonata-4cylautomatic-2016
چانگان,چانگان، CS 55 پلاس,2024,1000,تهران / نارمک,5500000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-bzqvnyan-changan-cs55plus-1.5liter-2024
پژو,پژو، 207,2025,14000,تبریز,2250000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-goax3ehg-peugeot-207-attu5p-1404
تارا,تارا، دنده ای V1 پلاس,2023,43000,تهران / قلهک,1700000000.0,lumpsum,دنده ای,مشکی,خاکستری,بدون رنگ,1.6,https://bama.ir/car/detail-l3egjvkx-tara-v1p-6mt-1402
بی وای دی,بی وای دی، چین ال DMi,2025,0,تهران / دارآباد,7100000000.0,lumpsum,اتوماتیک,نقرآبی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-oqq5kjc2-byd-qinl-1.5literturbo-2025
ب ام و,ب ام و، سری 5 سدان,2014,160000,تهران / الهیه,8600000000.0,lumpsum,اتوماتیک,سفید,کرم,دو لکه رنگ,2.0,https://bama.ir/car/detail-punsxatr-bmw-5seriessedan-520i-2014
دیگنیتی,دیگنیتی، پرایم,2025,12000,تالش,4800000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-4ruhvft9-dignity-prime-1404
هیوندای,هیوندای، جنسیس,2012,300000,بناب,5600000000.0,lumpsum,اتوماتیک,سفید,کرم,چند لکه رنگ,3.8,https://bama.ir/car/detail-8vdp6cql-hyundai-genesis-2012
ساینا,ساینا، S,2024,53000,شمیرانات,1100000000.0,lumpsum,دنده ای,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-on2bux3d-saina-manuals-mtgas-1403
کوییک,کوییک، دنده ای R,2021,39000,رشت / گاز,1050000000.0,lumpsum,دنده ای,مشکی,قرمز,بدون رنگ,1.5,https://bama.ir/car/detail-vc19gt5u-quick-manualr-1400
فونیکس,فونیکس، تیگو 8 پرو,2023,62000,یزد,5400000000.0,lumpsum,اتوماتیک,مشکی,نارنجی,بدون رنگ,1.6,https://bama.ir/car/detail-1h0xvmfo-fownix-tiggo8pro-premium-1402
کی ام سی,کی ام سی، J7,2026,0,تهران / جنت آباد,5550000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-ykruywbm-kmc-j7-1405
تانک,تانک، 500HEV,2026,0,تهران / نیاوران,9700000000.0,lumpsum,اتوماتیک,مشکی,نارنجی,بدون رنگ,2.0,https://bama.ir/car/detail-xtjvifqk-tank-500hev-2.0literturbo-2026
پراید,پراید، صندوق دار,2007,463000,آمل,490000000.0,lumpsum,دنده ای,نقره ای,-,خط و خش جزئی,1.3,https://bama.ir/car/detail-r7llgym6-pride-sedan-1386
لاماری,لاماری، ایما,2026,0,تهران / جنت آباد,4700000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-dntr75fq-lamari-eama-1405
پژو,پژو، 207,2024,51000,تهران / خلیج فارس,1585000000.0,lumpsum,دنده ای,سفید,مشکی,گلگیر تعویض,1.6,https://bama.ir/car/detail-ni7vz8ln-peugeot-207-mt-1403
اکستریم,اکستریم، LX (SX),2025,0,تهران / سعادت‌آباد,6750000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-6rjgopwm-xtrim-lx-1.6literturbo-1404
تویوتا,تویوتا، لوین هیبرید,2025,0,اصفهان / چهار باغ بالا,5840000000.0,lumpsum,اتوماتیک,سفید,-,بدون رنگ,1.8,https://bama.ir/car/detail-hltnuhxo-toyota-levinhybrid-1.8liter-2025
فیدلیتی,فیدلیتی، الیت,2026,0,تهران / سعادت‌آباد,5600000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-qwf8tpg2-fidelity-elite-7seater-1405
شاهین,شاهین، پلاس اتوماتیک AT,2025,0,تهران / شهرزیبا,2635000000.0,lumpsum,اتوماتیک,سفید,-,بدون رنگ,1.6,https://bama.ir/car/detail-qxmv0gid-shahin-plusat-at6-1404
رنو,رنو، پارس تندر,2015,66500,تهران / شهید مطهری,1680000000.0,lumpsum,دنده ای,سفید,-,خط و خش جزئی,1.6,https://bama.ir/car/detail-vlpacvdr-renault-parstondar-1394
کیا,کیا، اپتیما,2016,67000,تهران / فتح,8500000000.0,lumpsum,اتوماتیک,سفید صدفی,مشکی,بدون رنگ,2.4,https://bama.ir/car/detail-opid9fzs-kia-optima-gtline-2016
کوییک,کوییک، دنده ای S,2026,0,تهران / پونک,2210000000.0,installment,دنده ای,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-h5fu4jtx-quick-manuals-1405
ام وی ام,ام وی ام، X55 PRO,2025,0,تهران / تهرانپارس,3700000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-0xamkdlq-mvm-x55pro-ie-1404
هایما,هایما، S7,2026,0,تهران / پونک,7610000000.0,installment,اتوماتیک,سفید,-,بدون رنگ,1.5,https://bama.ir/car/detail-9v8nc2ek-haima-s7-1.5literturbopro-1405
لاماری,لاماری، ایما HEV,2025,0,تهران / پونک,11140000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-ujg3povs-lamari-eamahev-1.5literturbo-2025
ام وی ام,ام وی ام، X33 S,2020,109000,تهران / باغ فیض,2480000000.0,lumpsum,اتوماتیک,نوک مدادی,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-zl2wgase-mvm-x33s-at5speed-1399
هیوندای,هیوندای، آوانته,2007,270000,قائم شهر,1200000000.0,lumpsum,دنده ای,مشکی,-,چند لکه رنگ,2.0,https://bama.ir/car/detail-srsp4zce-hyundai-avante-mt-1386
هونگچی,هونگچی، H5,2025,0,تهران / پونک,14310000000.0,installment,اتوماتیک,سفید,بژ,بدون رنگ,2.0,https://bama.ir/car/detail-bsaoyuz5-hongqi-h5-2.0literturbo-2025
رنو,رنو، ساندرو,2017,97000,تهران / شهرک نفت (منطقه 1),1900000000.0,lumpsum,دنده ای,مشکی,-,بدون رنگ,1.6,https://bama.ir/car/detail-gc0odkuq-renault-sandero-mt-1396
فونیکس,فونیکس، تیگو 8 پرو مکس (F8 PRO MAX),2025,0,تهران / سعادت‌آباد,13500000000.0,installment,اتوماتیک,سفید,-,بدون رنگ,2.0,https://bama.ir/car/detail-cd0sbojm-fownix-tiggo8promax-ie-1404
هیوندای,هیوندای، کونا,2025,0,تهران / پونک,13800000000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-ux2sle0b-hyundai-kona-2.0liter-2025
ام جی,ام جی، 550,2010,248000,تهران / جردن,1980000000.0,lumpsum,اتوماتیک,مشکی,کرم,چند لکه رنگ,1.8,https://bama.ir/car/detail-zk9ms1cr-mg-550-2010
کی ام سی,کی ام سی، T9,2025,0,تهران / فرمانیه,6400000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-rkjewxss-kmc-t9-2literturbo-1404
کی ام سی,کی ام سی، SR3,2025,0,تهران / پونک,6000000000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-wwrvmley-kmc-sr3-1.6liter-1404
جی ای سی,جی ای سی، ES9,2024,0,تهران / هروی,12800000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-os0hmko9-gacgonow-es9-premium-2024
تیگارد,تیگارد، تیسان S05,2026,0,تهران / پونک,6533000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-0sep4eqa-tigardmotor-tissans05-1.5literturbo-1405
بایک,بایک، BJ30,2025,2000,تهران / هروی,8000000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-xh5nsytn-baic-bj30-hybrid-1404
تیگارد,پیش فروش تیگارد، تیسان S05,2026,0,کرج / عظیمیه,3296000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-3xcqfhsl-tigardmotor-tissans05-1.5literturbo-1405
تویوتا,تویوتا، کرولا کراس هیبرید,2026,0,کرج / عظیمیه,3650000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-ls0r98x2-toyota-corollacrosshybrid-2.0liter-2026
تویوتا,تویوتا، راوفور,2018,99000,تهران / شهرک غرب,11000000000.0,lumpsum,اتوماتیک,سفید,نارنجی,بدون رنگ,2.5,https://bama.ir/car/detail-0ww6posj-toyota-rav4-4wd-2018
دنا,دنا، پلاس EF7,2026,0,تهران / پونک,4720000000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,1.7,https://bama.ir/car/detail-mgygjs3e-dena-plus-turboautomaticoptional-1405
نیسان,نیسان، ترا,2025,2000,تهران / هروی,9000000000.0,lumpsum,اتوماتیک,سفید,کرم,بدون رنگ,2.0,https://bama.ir/car/detail-pirsmyt4-nissan-terra-exclusive-1404
سمند,سمند، سورن,2026,0,شیروان چرداول,1650000000.0,lumpsum,دنده ای,سفید,-,بدون رنگ,1.8,https://bama.ir/car/detail-3cvlikzd-samand-soren-plusxu7p-1405
شاهین,شاهین، GL دنده ای,2026,0,تهران / شهرزیبا,1970000000.0,lumpsum,دنده ای,سفید,-,بدون رنگ,1.5,https://bama.ir/car/detail-aitixhxy-shahin-gl-1405
فیدلیتی,فیدلیتی، الیت,2025,13906,تهران / سعادت‌آباد,4950000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-vcyrmfih-fidelity-elite-7seater-1404
سمند,سمند، LX,2007,302000,تهران / سعادت‌آباد,665000000.0,lumpsum,دنده ای,سرمه ای,کرم,یک لکه رنگ,1.8,https://bama.ir/car/detail-gyo8k2jn-samand-lx-basic-1386
نیسان,نیسان، قشقایی,2025,0,تهران / نارمک,3980000000.0,lumpsum,اتوماتیک,مشکی,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-svjtyjow-nissan-qashqai-2wdhonor-2025
نوو,نوو، A05,2025,0,تهران / هروی,5100000000.0,lumpsum,اتوماتیک,سفید,شتری,بدون رنگ,1.5,https://bama.ir/car/detail-rmlpkzk6-nevo-a05-1.5liter-2025
پژو,پژو، 207,2026,0,تهران / پونک,4440000000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,1.6,https://bama.ir/car/detail-xqtrsubc-peugeot-207-automaticpanoramatu5p-1405
جک,جک، S5,2018,59000,اردبیل,3350000000.0,lumpsum,اتوماتیک,سفید,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-tekhf2mu-jac-s5-at2000-1397
رانا,رانا، پلاس,2026,0,تهران / پونک,2860000000.0,installment,دنده ای,سفید,-,بدون رنگ,1.6,https://bama.ir/car/detail-8bqbiuhr-runna-plus-tu5plus-1405
کی ام سی,کی ام سی، ایگل,2026,0,تهران / پونک,4433000000.0,installment,اتوماتیک,مشکی,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-ulnznm9a-kmc-eagle-1.5liter-1405
اینرودز,اینرودز، C35,2026,0,تهران / پونک,3845000000.0,installment,دنده ای,سفید,مشکی,بدون رنگ,1.5,https://bama.ir/car/detail-zoknfvxp-inroads-c35-1405
پژو,پژو، 207,2025,25000,تهران / پاسداران,1450000000.0,lumpsum,دنده ای,مشکی,مشکی,بدون رنگ,1.4,https://bama.ir/car/detail-aprukik2-peugeot-207-tu3mt-1404
نیسان,نیسان، قشقایی,2025,0,تهران / پونک,13100000000.0,installment,اتوماتیک,سفید,مشکی,بدون رنگ,2.0,https://bama.ir/car/detail-9piqpuya-nissan-qashqai-2wdhonor-2025
پژو,پژو، 206,2003,311000,تبریز,780000000.0,lumpsum,دنده ای,مسی,-,دو لکه رنگ,1.4,https://bama.ir/car/detail-vlgkjfna-peugeot-206ir-type2-1382
چانگان,چانگان، CS 55 پلاس,2025,0,تهران / سعادت‌آباد,10370000000.0,installment,اتوماتیک,مشکی,-,بدون رنگ,1.5,https://bama.ir/car/detail-lbdcuwzy-changan-cs55plus-1.5liter-2025
